;title;text;label;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;Mirrors sick of all of your Robert De Niro impressions;Mirrors across America have claimed, not unreasonably, that they are all sick of your Robert De Niro Impressions.Mirror, Cindy Sheen, said 'Honestly, if Gary asks me one more time if I am talking to him, I won't be happy. Gary, we know you are the only one here, but that is because you are self-isolating. To be honest, there has only been one time in the past eight years when you haven't been talking to me, and that was when you brought that poor woman back here. She looked around the flat once, said she needed to use the bathroom, and left out of the window. We are on the third floor.';FAKE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;Man's Week Goes According To Plan;With all the frantic uncertainty surrounding the outbreak of the deadly Coronavirus relentlessly hounding us in our daily lives, there was some respite for one man this week, when his time went more-or-less according to plan.Moys Kenwood, 56, was laid off from his job at a local school, in a belated attempt to contain the spread of the dastardly virus, and immediately set about planning-out his leisuretime.First on his list, was playing endless games with his two children: hide and seek, riding bikes, 'wrestling with dad', drawing, painting, coloring, 'Construction Site' with diggers, steamroller, tractor, and lorries loading sand, and, when they were fed up of those, lolling in front of the TV.When the kids had fallen asleep, and were 'recharging their batteries', he read Friedrich Engels 'The Condition of the Working Class in England', and listened to music, including The Durutti Column, The Fall, Dominique A, the Gang Of Four, A Certain Ratio and Julio Iglesias.His meals arrived on schedule, and he retired to bed at his regular time of 10pm, sleeping until 6am, or shortly thereafter, as is normal.Everything went swimmingly, and nothing happened to upset his plans.But, still, at the back of his mind, something was not quite right.;FAKE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;Family pleased by the BBC's repeats of Miranda and Mrs Brown's Boys;The Johnsons, Gary and Lorraine, and their son, Thomas, are pleased by the BBC's repeats of Miranda and oi]Mrs Brown's Boys.Talking to us earlier, Gary said, 'I love these repeats that the BBC are showing. Not because they are quality television, or laugh-out-loud funny, but because it gives the three of us something to agree on. They are crap.'Lorraine continued, 'Yes, when I see that Gary has left yet another sock on the floor, or Thomas hasn't put his towels on the rack, at least we can put the television on, and agree that it is shite.'Thomas told us 'My friend, Sarah, loves Miranda, so I feel I should like it as well. She is well lush.'Gary continued, 'Oh, for God's sake, Tom, just ask her out!';FAKE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;Thieves Break Into A Toilet Paper Warehouse and Make off With 9,000 Rolls;MILWAUKEE – Local authorities are reporting that overnight thieves broke into the Charmin Warehouse located on Soft Street and made off with 9,000 rolls of toilet paper.Surveillance cameras captured the three thieves who were dressed as Milwaukee Bucks basketball players. The highly professional thieves managed to take the 9,000 rolls of TP in just under 55 seconds.Officer Timothy Timmons with the MPD said that he has never seen thieves move that fast. He pointed out that the three thieves who were identified as being Swiss were all wearing Michael Jordan Jumpin’ Jumpball Footwear, which retails for $297 a pair.SIDENOTE: Officer Timmons said that the reason he figured that the thieves were Swiss was because one dropped a Swiss army knife and on the surveillance video another one of the thieves could be heard yodeling an old Swiss Alps Mountain wedding song.;FAKE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;Many Grocery Stores Are Hiring Security Guards Just For Their Toilet Paper Aisles;CHEYENNE, Wyoming - MTV is reporting that many grocery store chains are now having to hire extra security guards.They note that due to the extreme shortage of toilet paper they are seeing more and more incidents of violence among the shoppers.One individual who was shopping at a Krogers was seen biting the elbow of an elderly woman who had reached for the same TP package that he was reaching for.Luckily for the woman a good samaritan who witnessed the incident was able to pry open the man’s jaw and remove the elderly woman’s elbow out of his frothing mouth.Another shopper who described herself as a King Trump supporter was seen opening a package of Northern TP and literally stuffing two rolls inside her granny panties.A store clerk saw her and reported her to the security guard who told her to take them out of her crotch region.She refused. He fired a warning shot up in the air and the woman got so scared that she took the two rolls out of her panties, tossed them on the floor, and took off running towards the frozen food section.She was tackled by a merchant who was delivering bread and held until the security guard could take her into custody.He put her in handcuffs and as she was being led away she began shouting that Trump is the most handsome and sexiest president she has ever seen and that she wants to have his baby.The guard told her to shut the eff up or he would have to shoot her in the foot.IN OTHER NEWS – Manhattan is cancelling this year’s annual Bring Your Pet To Work Day.;FAKE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;Dairy Queen Makes A Major Announcement Regarding The C-19;MINNEAPOLIS – According to The Minneapolis Daily Embellisher, the DQ headquarters has just implemented a new corporate policy.DQ Senior Executive Vice-Chairman Angus P. Butterhouse has informed the public that, effective immediately, all of the DQ cooks will now be wearing Haz-Mat suits.Butterhouse said that, with the DQ shares taking a hell of a nosedive, his company cannot afford to lose anymore customers. He added that he also fears that he will have to put his secondary yacht up on the market.A reporter for the Daily Embellisher asked one DQ cook, identified as Stavros Queenquist, what he thought about having to wear a Haz-Mat suit.He just shrugged his shoulders, and said that he did not really mind wearing the heavy, bulky, uncomfortable suit, except for the fact that it now takes him a good 14 minutes just to go pee.Another cook, Calypso Villacourt, said that she hates that it messes up her braids, and she now constantly feels like she’s some kind of weird space alien from the planet Sinsemilla.But hamburger patty-shaper, Antonio Sandwater, simply said that his girlfriend (Freckles) thinks that he is just the cutest thing since baby bunnies.Tony winked, and said that now Freckles actually gets extremely turned on when he gets home dressed in his Hazzy, as she calls it.[WRITER'S NOTE: Antonio blushed as he said that, at this rate, Freckles will most probably be getting pregnant in four or five days.];FAKE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;The Sex Toy Industry is Booming Due to The COVID-19;SAN FRANCISCO – The iNews Agency is reporting that the sex toy industry is experiencing the greatest boom in the history of sex toys, because of the C-19 social distancing 6-foot rule.Upper Northern Hemisphere Sex Toy Company CEO, Ira Goldenberger, said that orders are coming in from every state of the union, and also from 147 of the world’s 196 countries.Goldie, as he is known, said that his company has had to put on a second and third shift, and have had to hire 400 new employees, including 60 who will do nothing but test the sex toys.When asked where most of the orders are coming from, he replied, “We are getting a tremendous volume of orders from New York City, Beverly Hills, and Walla Walla, Washington.When asked why Walla Walla, he replied “I have no idea idea.”Mr. Goldenberger pointed out that the biggest seller right now is the X-69 Neptune Engulfer Boom-Boomer. He added that it is followed very closely by the Kim Kardashian Lady Libido Oscillating Commando Tick Tocker.CEO Goldenberger was asked to explain what exactly those two sex products were and what they did, but there is just no way that we would be allowed to print his answers here.;FAKE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54;National Archives;OTTAWA – Millions of Canadians working from home due to the COVID-19 pandemic have started their days off pretending to be hard at work. “I could read these documents that my manager sent t…;FAKE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
55;Local Archives;YOUR BATHROOM – In the midst of a nationwide quarantine prompting citizens all over Canada to self-isolate, your shower just wanted to let you know that it was curious if it was ever going to see…;FAKE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
56;Toronto Archives;TORONTO — Subway passengers are being warned never to attempt to reach for personal articles that have fallen onto the subway tracks, unless it’s their cell phone because how are you just g…;FAKE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
